,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
164.0,8:00p,Detroit Pistons,98,New Orleans Pelicans,94,Box Score,,"18,181",
165.0,8:00p,San Antonio Spurs,120,Philadelphia 76ers,122,Box Score,,"20,339",
166.0,10:30p,Denver Nuggets,108,Utah Jazz,114,Box Score,,"18,306",
167.0,8:00p,New Orleans Pelicans,116,Oklahoma City Thunder,122,Box Score,,"18,203",
168.0,8:00p,Golden State Warriors,126,Washington Wizards,118,Box Score,,"20,409",
169.0,9:00p,Portland Trail Blazers,120,Phoenix Suns,106,Box Score,,"15,441",
170.0,10:30p,Minnesota Timberwolves,120,Los Angeles Lakers,105,Box Score,,"18,997",
171.0,7:00p,Washington Wizards,95,Orlando Magic,91,Box Score,,"17,216",
172.0,7:30p,New York Knicks,99,Brooklyn Nets,109,Box Score,,"17,033",
173.0,7:30p,Miami Heat,100,Cleveland Cavaliers,94,Box Score,,"19,432",
174.0,8:00p,Los Angeles Clippers,106,Chicago Bulls,101,Box Score,,"19,354",
175.0,8:00p,Toronto Raptors,119,Houston Rockets,121,Box Score,,"18,055",
176.0,8:00p,Sacramento Kings,99,Memphis Grizzlies,96,Box Score,,"14,486",
177.0,8:30p,Detroit Pistons,101,Dallas Mavericks,106,Box Score,,"20,327",
178.0,8:30p,Charlotte Hornets,99,Milwaukee Bucks,108,Box Score,,"17,803",
179.0,9:00p,Phoenix Suns,95,Denver Nuggets,132,Box Score,,"17,425",
180.0,9:00p,Minnesota Timberwolves,102,Utah Jazz,106,Box Score,,"18,306",
181.0,6:00p,San Antonio Spurs,126,New Orleans Pelicans,114,Box Score,,"17,724",
182.0,8:00p,Indiana Pacers,103,Memphis Grizzlies,106,Box Score,,"14,486",
183.0,8:30p,Golden State Warriors,115,Boston Celtics,111,Box Score,,"18,624",
184.0,9:00p,Philadelphia 76ers,110,Denver Nuggets,126,Box Score,,"19,673",
185.0,10:00p,Atlanta Hawks,111,Portland Trail Blazers,120,Box Score,,"19,629",
186.0,3:30p,Cleveland Cavaliers,104,Chicago Bulls,101,Box Score,,"19,675",
187.0,3:30p,Sacramento Kings,108,Los Angeles Clippers,122,Box Score,,"19,068",
188.0,6:00p,Milwaukee Bucks,112,Oklahoma City Thunder,118,Box Score,,"18,203",
189.0,7:00p,Toronto Raptors,123,Dallas Mavericks,120,Box Score,,"20,308",
190.0,7:00p,Orlando Magic,98,Houston Rockets,103,Box Score,,"18,055",
191.0,7:00p,Utah Jazz,125,Minnesota Timberwolves,111,Box Score,,"14,542",
192.0,7:00p,Washington Wizards,119,San Antonio Spurs,132,Box Score,,"18,354",
193.0,7:30p,Miami Heat,106,New York Knicks,97,Box Score,,"18,852",
194.0,9:30p,Phoenix Suns,102,Los Angeles Lakers,116,Box Score,,"18,997",
195.0,7:00p,New York Knicks,92,Charlotte Hornets,101,Box Score,,"13,963",
196.0,7:00p,Golden State Warriors,132,Indiana Pacers,100,Box Score,,"17,923",
197.0,7:30p,Brooklyn Nets,104,Boston Celtics,112,Box Score,,"18,624",
198.0,8:00p,Denver Nuggets,95,Memphis Grizzlies,92,Box Score,,"12,917",
199.0,10:30p,Atlanta Hawks,123,Los Angeles Clippers,118,Box Score,,"17,382",
200.0,7:00p,Washington Wizards,113,Cleveland Cavaliers,116,Box Score,,"19,432",
201.0,7:00p,Milwaukee Bucks,115,Detroit Pistons,105,Box Score,,"14,187",
202.0,7:00p,Oklahoma City Thunder,126,Orlando Magic,117,Box Score,,"16,341",
