,0.0,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
81.0,"Mon, Nov 12, 2018",7:30p,New Orleans Pelicans,126,Toronto Raptors,110,Box Score,,"19,800",
82.0,"Mon, Nov 12, 2018",8:00p,Dallas Mavericks,103,Chicago Bulls,98,Box Score,,"19,012",
83.0,"Mon, Nov 12, 2018",8:00p,Utah Jazz,96,Memphis Grizzlies,88,Box Score,,"13,477",
84.0,"Mon, Nov 12, 2018",8:00p,Brooklyn Nets,113,Minnesota Timberwolves,120,Box Score,,"10,186",
85.0,"Mon, Nov 12, 2018",8:00p,Phoenix Suns,101,Oklahoma City Thunder,118,Box Score,,"18,203",
86.0,"Mon, Nov 12, 2018",10:00p,San Antonio Spurs,99,Sacramento Kings,104,Box Score,,"15,500",
87.0,"Mon, Nov 12, 2018",10:30p,Golden State Warriors,116,Los Angeles Clippers,121,Box Score,OT,"19,068",
88.0,"Tue, Nov 13, 2018",7:00p,Charlotte Hornets,89,Cleveland Cavaliers,113,Box Score,,"19,432",
89.0,"Tue, Nov 13, 2018",9:00p,Houston Rockets,109,Denver Nuggets,99,Box Score,,"16,741",
90.0,"Tue, Nov 13, 2018",10:30p,Atlanta Hawks,103,Golden State Warriors,110,Box Score,,"19,596",
91.0,"Wed, Nov 14, 2018",7:00p,Philadelphia 76ers,106,Orlando Magic,111,Box Score,,"15,921",
92.0,"Wed, Nov 14, 2018",7:00p,Cleveland Cavaliers,95,Washington Wizards,119,Box Score,,"14,537",
93.0,"Wed, Nov 14, 2018",7:30p,Chicago Bulls,82,Boston Celtics,111,Box Score,,"18,624",
94.0,"Wed, Nov 14, 2018",7:30p,Miami Heat,120,Brooklyn Nets,107,Box Score,,"13,317",
95.0,"Wed, Nov 14, 2018",7:30p,Detroit Pistons,106,Toronto Raptors,104,Box Score,,"19,800",
96.0,"Wed, Nov 14, 2018",8:00p,Memphis Grizzlies,116,Milwaukee Bucks,113,Box Score,,"16,817",
97.0,"Wed, Nov 14, 2018",8:00p,New Orleans Pelicans,100,Minnesota Timberwolves,107,Box Score,,"11,636",
98.0,"Wed, Nov 14, 2018",8:00p,New York Knicks,103,Oklahoma City Thunder,128,Box Score,,"18,203",
99.0,"Wed, Nov 14, 2018",8:30p,Utah Jazz,68,Dallas Mavericks,118,Box Score,,"19,371",
100.0,"Wed, Nov 14, 2018",9:00p,San Antonio Spurs,96,Phoenix Suns,116,Box Score,,"14,532",
101.0,"Wed, Nov 14, 2018",10:30p,Portland Trail Blazers,117,Los Angeles Lakers,126,Box Score,,"18,997",
102.0,"Thu, Nov 15, 2018",8:00p,Golden State Warriors,86,Houston Rockets,107,Box Score,,"18,055",
103.0,"Thu, Nov 15, 2018",9:00p,Atlanta Hawks,93,Denver Nuggets,138,Box Score,,"15,103",
104.0,"Thu, Nov 15, 2018",10:30p,San Antonio Spurs,111,Los Angeles Clippers,116,Box Score,,"17,463",
105.0,"Fri, Nov 16, 2018",7:00p,Toronto Raptors,116,Boston Celtics,123,Box Score,OT,"18,624",
106.0,"Fri, Nov 16, 2018",7:00p,Miami Heat,91,Indiana Pacers,99,Box Score,,"17,923",
107.0,"Fri, Nov 16, 2018",7:00p,Utah Jazz,107,Philadelphia 76ers,113,Box Score,,"20,485",
108.0,"Fri, Nov 16, 2018",7:00p,Brooklyn Nets,115,Washington Wizards,104,Box Score,,"15,102",
109.0,"Fri, Nov 16, 2018",8:00p,Sacramento Kings,104,Memphis Grizzlies,112,Box Score,,"13,811",
110.0,"Fri, Nov 16, 2018",8:00p,Portland Trail Blazers,96,Minnesota Timberwolves,112,Box Score,,"18,978",
111.0,"Fri, Nov 16, 2018",8:00p,New York Knicks,124,New Orleans Pelicans,129,Box Score,,"14,717",
112.0,"Fri, Nov 16, 2018",9:30p,Chicago Bulls,104,Milwaukee Bucks,123,Box Score,,"17,341",
113.0,"Sat, Nov 17, 2018",6:00p,Los Angeles Clippers,127,Brooklyn Nets,119,Box Score,,"12,944",
114.0,"Sat, Nov 17, 2018",7:00p,Philadelphia 76ers,122,Charlotte Hornets,119,Box Score,OT,"19,426",
115.0,"Sat, Nov 17, 2018",7:00p,Atlanta Hawks,89,Indiana Pacers,97,Box Score,,"17,491",
116.0,"Sat, Nov 17, 2018",7:00p,Denver Nuggets,115,New Orleans Pelicans,125,Box Score,,"15,408",
117.0,"Sat, Nov 17, 2018",7:00p,Los Angeles Lakers,117,Orlando Magic,130,Box Score,,"19,249",
