,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
105.0,10:30p,Chicago Bulls,121,Los Angeles Clippers,128,Box Score,,"17,404",
106.0,12:30p,Atlanta Hawks,120,Boston Celtics,129,Box Score,,"18,624",
107.0,7:00p,Phoenix Suns,138,New Orleans Pelicans,136,Box Score,OT,"17,641",
108.0,7:00p,Memphis Grizzlies,128,Washington Wizards,135,Box Score,,"19,750",
109.0,8:30p,Cleveland Cavaliers,116,Dallas Mavericks,121,Box Score,,"20,347",
110.0,8:30p,Golden State Warriors,110,Oklahoma City Thunder,88,Box Score,,"18,203",
111.0,8:30p,Portland Trail Blazers,103,San Antonio Spurs,108,Box Score,,"18,354",
112.0,9:00p,Indiana Pacers,100,Denver Nuggets,102,Box Score,,"19,856",
113.0,9:00p,Brooklyn Nets,98,Utah Jazz,114,Box Score,,"18,306",
114.0,12:00p,Los Angeles Lakers,123,New York Knicks,124,Box Score,,"19,812",
115.0,1:00p,Charlotte Hornets,75,Miami Heat,93,Box Score,,"19,600",
116.0,3:30p,Philadelphia 76ers,130,Milwaukee Bucks,125,Box Score,,"18,148",
117.0,4:00p,Toronto Raptors,107,Detroit Pistons,110,Box Score,,"19,277",
118.0,6:00p,Atlanta Hawks,91,Orlando Magic,101,Box Score,,"18,045",
119.0,6:00p,Chicago Bulls,102,Sacramento Kings,129,Box Score,,"17,583",
120.0,9:00p,Minnesota Timberwolves,102,Houston Rockets,117,Box Score,,"18,055",
121.0,9:00p,Brooklyn Nets,116,Los Angeles Clippers,119,Box Score,,"17,247",
122.0,7:00p,Detroit Pistons,119,Cleveland Cavaliers,126,Box Score,,"18,465",
123.0,7:00p,Utah Jazz,116,Washington Wizards,95,Box Score,,"15,637",
124.0,7:30p,Denver Nuggets,114,Boston Celtics,105,Box Score,,"18,624",
125.0,7:30p,New York Knicks,92,Toronto Raptors,128,Box Score,,"19,800",
126.0,8:00p,Miami Heat,116,Oklahoma City Thunder,107,Box Score,,"18,203",
127.0,8:00p,Golden State Warriors,105,San Antonio Spurs,111,Box Score,,"18,354",
128.0,8:30p,New Orleans Pelicans,129,Dallas Mavericks,125,Box Score,OT,"20,276",
129.0,10:00p,Chicago Bulls,116,Phoenix Suns,101,Box Score,,"15,879",
130.0,10:30p,Indiana Pacers,98,Portland Trail Blazers,106,Box Score,,"19,393",
131.0,7:00p,Philadelphia 76ers,118,Charlotte Hornets,114,Box Score,,"16,411",
132.0,7:30p,Houston Rockets,121,Atlanta Hawks,105,Box Score,,"16,293",
133.0,8:00p,Los Angeles Lakers,101,Milwaukee Bucks,115,Box Score,,"17,879",
