,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
140.0,10:30p,Oklahoma City Thunder,112,Denver Nuggets,121,Box Score,,"18,378",
141.0,7:00p,Houston Rockets,118,Charlotte Hornets,113,Box Score,,"17,903",
142.0,7:30p,Minnesota Timberwolves,123,Atlanta Hawks,131,Box Score,OT,"14,101",
143.0,7:30p,Washington Wizards,125,Brooklyn Nets,116,Box Score,,"13,683",
144.0,7:30p,Golden State Warriors,125,Miami Heat,126,Box Score,,"19,647",
145.0,8:00p,Portland Trail Blazers,97,Boston Celtics,92,Box Score,,"18,624",
146.0,8:00p,Chicago Bulls,109,Memphis Grizzlies,107,Box Score,,"13,711",
147.0,8:30p,Indiana Pacers,101,Dallas Mavericks,110,Box Score,,"19,978",
148.0,8:30p,Detroit Pistons,93,San Antonio Spurs,105,Box Score,,"18,354",
149.0,9:00p,Los Angeles Clippers,105,Utah Jazz,111,Box Score,,"18,306",
150.0,10:00p,Milwaukee Bucks,141,Sacramento Kings,140,Box Score,OT,"17,583",
151.0,10:30p,New Orleans Pelicans,119,Los Angeles Lakers,125,Box Score,,"18,997",
152.0,7:00p,Minnesota Timberwolves,115,Indiana Pacers,122,Box Score,,"17,003",
153.0,7:00p,Golden State Warriors,96,Orlando Magic,103,Box Score,,"18,846",
154.0,7:30p,Cleveland Cavaliers,125,New York Knicks,118,Box Score,,"17,573",
155.0,8:00p,Miami Heat,118,Houston Rockets,121,Box Score,,"18,119",
156.0,8:00p,Philadelphia 76ers,108,Oklahoma City Thunder,104,Box Score,,"18,203",
157.0,10:30p,Utah Jazz,111,Denver Nuggets,104,Box Score,,"19,520",
